Tue Mar 29 12:35:11 2022,78,1702,30937
Tue Mar 29 12:35:13 2022,79,1713,30875
Tue Mar 29 12:35:14 2022,80,1708,30937
Tue Mar 29 12:35:16 2022,81,1709,30875
Tue Mar 29 12:35:18 2022,82,1712,30875
Tue Mar 29 12:35:20 2022,83,1707,30937
Tue Mar 29 12:35:22 2022,84,1706,30875
Tue Mar 29 12:35:23 2022,85,1711,30937
Tue Mar 29 12:35:25 2022,86,1711,30937
Tue Mar 29 12:35:27 2022,87,1703,30937
Tue Mar 29 12:35:29 2022,88,1711,30937
Tue Mar 29 12:35:31 2022,89,1717,30875
Tue Mar 29 12:35:33 2022,90,1713,30937
Tue Mar 29 12:35:34 2022,91,1712,30937
Tue Mar 29 12:35:36 2022,92,1716,30875
Tue Mar 29 12:35:38 2022,93,1716,30875
Tue Mar 29 12:35:40 2022,94,1714,30875
Tue Mar 29 12:35:42 2022,95,1718,30937
Tue Mar 29 12:35:44 2022,96,1721,30937
Tue Mar 29 12:35:45 2022,97,1717,30937
Tue Mar 29 12:35:47 2022,98,1713,30875
Tue Mar 29 12:35:49 2022,99,1719,30875
Tue Mar 29 12:35:51 2022,100,1724,30875
Tue Mar 29 12:35:53 2022,101,1716,30937
Tue Mar 29 12:35:54 2022,102,1719,30875
Tue Mar 29 12:35:56 2022,103,1719,30937
Tue Mar 29 12:35:58 2022,104,1718,30875
Tue Mar 29 12:36:00 2022,105,1718,30875
Tue Mar 29 12:36:02 2022,106,1720,30875
Tue Mar 29 12:36:04 2022,107,1724,30937
Tue Mar 29 12:36:05 2022,108,1719,30937
Tue Mar 29 12:36:07 2022,109,1714,30875
Tue Mar 29 12:36:09 2022,110,1721,30875
Tue Mar 29 12:36:11 2022,111,1727,30875
Tue Mar 29 12:36:13 2022,112,1723,30875
Tue Mar 29 12:36:15 2022,113,1716,30875
Tue Mar 29 12:36:16 2022,114,1723,30875
Tue Mar 29 12:36:18 2022,115,1728,30875
Tue Mar 29 12:36:20 2022,116,1723,30937
Tue Mar 29 12:36:22 2022,117,1718,30937
Tue Mar 29 12:36:24 2022,118,1725,30937
Tue Mar 29 12:36:25 2022,119,1731,30937
Tue Mar 29 12:36:27 2022,120,1724,30875
Tue Mar 29 12:36:29 2022,121,1719,30937
Tue Mar 29 12:36:31 2022,122,1724,30937
Tue Mar 29 12:36:33 2022,123,1731,30937
Tue Mar 29 12:36:35 2022,124,1726,30937
Tue Mar 29 12:36:36 2022,125,1720,30937
Tue Mar 29 12:36:38 2022,126,1726,30937
Tue Mar 29 12:36:40 2022,127,1731,30937
Tue Mar 29 12:36:42 2022,128,1726,30875
Tue Mar 29 12:36:44 2022,129,1718,30937
Tue Mar 29 12:36:46 2022,130,1727,30937
Tue Mar 29 12:36:47 2022,131,1730,30937
Tue Mar 29 12:36:49 2022,132,1729,30875
Tue Mar 29 12:36:51 2022,133,1731,30875
Tue Mar 29 12:36:53 2022,134,1723,30937
Tue Mar 29 12:36:55 2022,135,1731,30875
Tue Mar 29 12:36:56 2022,136,1736,30875
Tue Mar 29 12:36:58 2022,137,1731,30937
Tue Mar 29 12:37:00 2022,138,1724,30875
Tue Mar 29 12:37:02 2022,139,1730,30875
Tue Mar 29 12:37:04 2022,140,1735,30875
Tue Mar 29 12:37:06 2022,141,1731,30937
Tue Mar 29 12:37:07 2022,142,1733,30875
Tue Mar 29 12:37:09 2022,143,1730,30875
Tue Mar 29 12:37:11 2022,144,1733,30875
Tue Mar 29 12:37:13 2022,145,1733,30937
Tue Mar 29 12:37:15 2022,146,1734,30875
Tue Mar 29 12:37:17 2022,147,1732,30937
Tue Mar 29 12:37:18 2022,148,1734,30875
Tue Mar 29 12:37:20 2022,149,1737,30937
Tue Mar 29 12:37:22 2022,150,1734,30937
Tue Mar 29 12:37:24 2022,151,1728,30875
Tue Mar 29 12:37:26 2022,152,1735,30875
Tue Mar 29 12:37:28 2022,153,1735,30875
Tue Mar 29 12:37:29 2022,154,1733,30875
Tue Mar 29 12:37:31 2022,155,1736,30875
Tue Mar 29 12:37:33 2022,156,1730,30875
Tue Mar 29 12:37:35 2022,157,1737,30937
Tue Mar 29 12:37:37 2022,158,1738,30875
Tue Mar 29 12:37:38 2022,159,1741,30875
Tue Mar 29 12:37:40 2022,160,1736,30875
Tue Mar 29 12:37:42 2022,161,1739,30875
Tue Mar 29 12:37:44 2022,162,1734,30875
Tue Mar 29 12:37:46 2022,163,1738,30875
Tue Mar 29 12:37:48 2022,164,1739,30937
Tue Mar 29 12:37:49 2022,165,1744,30875
Tue Mar 29 12:37:51 2022,166,1739,30875
Tue Mar 29 12:37:53 2022,167,1739,30937
